,gen,president
Alaska,1,0
Arizona,702,1
Arkansas,41,0
California,3797,1
Colorado,176,1
Connecticut,71,1
Delaware,14,1
Florida,624,0
Hawaii,140,1
Idaho,50,0
Illinois,50,1
Indiana,52,0
Iowa,18,0
Kansas,9,0
Kentucky,8,0
Louisiana,31,0
Maine,9,1
Maryland,128,1
Massachusetts,298,1
Michigan,23,1
Minnesota,149,1
Mississippi,38,0
Missouri,37,0
Montana,5,0
Nebraska,5,0
Nevada,514,1
New Hampshire,11,1
New Jersey,320,1
New Mexico,169,1
New York,255,1
North Carolina,733,0
Ohio,33,0
Oklahoma,9,0
Oregon,112,1
Pennsylvania,64,1
Rhode Island,41,1
South Carolina,188,0
Tennessee,34,0
Texas,866,0
Utah,280,0
Vermont,27,1
Virginia,141,1
Washington,21,1
West Virginia,1,0
Wisconsin,17,1
Wyoming,13,0
